N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,800",0,0.00%,100,"3,510,232","5,969,783",55.97,"16,841,328",18.40,8.69,
2,SK하이닉스,"83,800","2,400",+2.95%,"5,000","610,066","728,002",48.64,"2,450,376",26.69,4.25,
3,NAVER,"297,500","14,500",+5.12%,100,"488,684","164,263",55.82,"998,973",69.35,10.56,
4,삼성바이오로직스,"734,000","35,000",+5.01%,"2,500","485,651","66,165",10.02,"179,694",141.40,4.77,
5,LG화학,"647,000","9,000",-1.37%,"5,000","456,732","70,592",39.93,"354,588",111.53,1.84,
6,삼성전자우,"52,300",100,+0.19%,100,"430,370","822,887",86.27,"1,044,047",16.36,N/A,
7,현대차,"172,000","1,500",+0.88%,"5,000","367,509","213,668",31.03,"1,283,164",24.78,4.32,
8,셀트리온,"267,000","8,000",+3.09%,"1,000","360,433","134,994",20.50,"935,692",90.05,11.19,
9,삼성SDI,"460,000",500,+0.11%,"5,000","316,317","68,765",42.71,"372,082",168.99,2.94,
10,카카오,"356,500","20,000",+5.94%,500,"314,603","88,248",31.53,"831,929",-203.71,-5.81,
11,LG생활건강,"1,509,000","8,000",-0.53%,"5,000","235,679","15,618",45.52,"19,510",34.41,20.32,
12,현대모비스,"228,000","2,000",+0.88%,"5,000","216,725","95,055",42.63,"329,614",12.42,7.28,
13,삼성물산,"114,500","2,000",+1.78%,100,"213,986","186,887",13.81,"566,414",20.01,4.77,
14,기아차,"52,100","1,100",+2.16%,"5,000","211,194","405,363",38.21,"2,240,454",19.84,6.50,
15,POSCO,"220,500",0,0.00%,"5,000","192,247","87,187",50.85,"192,366",20.96,4.18,
16,엔씨소프트,"833,000","51,000",+6.52%,500,"182,877","21,954",48.35,"148,541",35.08,14.72,
17,SK텔레콤,"219,500",500,+0.23%,500,"177,237","80,746",34.32,"174,532",18.01,3.92,
18,KB금융,"41,500","1,150",-2.70%,"5,000","172,560","415,808",65.64,"1,450,754",5.43,8.92,
19,신한지주,"30,900","1,100",-3.44%,"5,000","159,607","516,527",58.02,"3,262,044",4.64,9.09,
20,LG전자,"86,300",0,0.00%,"5,000","141,228","163,648",35.60,"452,116",34.63,0.22,
21,삼성에스디에스,"175,500","1,500",+0.86%,500,"135,798","77,378",12.11,"70,300",26.05,11.76,
22,SK바이오팜,"169,000","10,000",+6.29%,500,"132,349","78,313",2.57,"726,115",-153.64,-313.66,
23,SK,"187,000","1,000",+0.54%,200,"131,574","70,360",21.61,"109,517",-360.31,4.31,
24,한국전력,"20,350",100,-0.49%,"5,000","130,640","641,964",17.20,"1,397,569",-14.18,-3.42,
25,삼성생명,"63,500",500,-0.78%,500,"127,000","200,000",12.44,"365,627",14.12,3.26,
26,LG,"70,300",300,-0.42%,"5,000","121,308","172,557",34.65,"161,567",15.01,5.87,
27,SK이노베이션,"131,000",500,-0.38%,"5,000","121,130","92,466",23.68,"465,644",-5.36,-0.20,
28,KT&G,"82,800",600,-0.72%,"5,000","113,678","137,292",41.50,"199,152",11.07,12.39,
29,넷마블,"124,000","2,000",+1.64%,100,"106,445","85,843",23.02,"253,273",51.30,3.54,
30,삼성전기,"141,000","4,500",+3.30%,"5,000","105,318","74,694",33.33,"432,425",43.40,10.18,
31,아모레퍼시픽,"165,000","3,000",+1.85%,500,"96,456","58,458",29.63,"112,337",82.96,5.36,
32,하나금융지주,"31,500","1,350",-4.11%,"5,000","94,576","300,242",64.17,"1,863,289",3.73,8.77,
33,삼성화재,"186,000","1,000",-0.53%,500,"88,117","47,375",46.34,"86,254",14.22,4.85,
34,롯데케미칼,"243,000","5,500",-2.21%,"5,000","83,289","34,275",27.62,"196,817",46.37,5.51,
35,고려아연,"386,000","3,000",-0.77%,"5,000","72,838","18,870",23.66,"24,334",13.24,9.76,
36,신풍제약,"132,000","2,500",-1.86%,500,"69,940","52,985",9.86,"994,264","4,000.00",0.80,
37,한화솔루션,"43,650","3,200",-6.83%,"5,000","69,781","159,864",19.47,"9,428,473",-42.13,-4.02,
38,우리금융지주,"9,240",70,-0.75%,"5,000","66,738","722,268",25.89,"1,389,476",4.88,N/A,
39,현대글로비스,"172,000","1,500",-0.86%,500,"64,500","37,500",35.79,"183,615",11.72,11.25,
40,S-Oil,"56,100",700,-1.23%,"2,500","63,159","112,583",73.75,"209,521",-7.71,1.01,
41,한온시스템,"11,800",250,+2.16%,100,"62,988","533,800",20.62,"539,753",37.82,14.98,
42,기업은행,"8,420",80,-0.94%,"5,000","62,196","738,664",10.61,"1,400,959",4.03,7.36,
43,KT,"22,800",150,+0.66%,"5,000","59,533","261,112",43.49,"486,033",9.94,4.61,
44,한국조선해양,"83,900","2,900",+3.58%,"5,000","59,379","70,773",15.43,"430,184",56.42,1.40,
45,CJ제일제당,"381,500","18,500",+5.10%,"5,000","57,432","15,054",23.49,"49,712",9.61,3.16,
46,미래에셋대우,"8,770",0,0.00%,"5,000","56,594","645,316",14.08,"1,316,576",10.44,7.56,
47,빅히트,"150,000","2,000",-1.32%,500,"53,436","35,624",3.31,"251,886",N/A,56.47,
48,LG디스플레이,"14,800",50,-0.34%,"5,000","52,957","357,816",22.47,"990,302",-1.82,-22.35,
49,코웨이,"70,300",300,+0.43%,500,"51,881","73,800",60.99,"157,734",14.78,30.74,
50,LG유플러스,"11,550",50,+0.43%,"5,000","50,429","436,611",31.31,"1,360,315",10.09,6.30,
